province,district,zone,soil_type,rainfall_mm,temperature_c,pH,season,shade,chosen_crop,good_bad
North Central,Anuradhapura,Wet Zone,loamy,2803,30.2,6.9,Yala,yes,turmeric,1
North Central,Anuradhapura,Wet Zone,loamy,2803,30.2,6.9,Yala,yes,paddy,0
North Central,Anuradhapura,Wet Zone,loamy,2803,30.2,6.9,Yala,yes,vegetables,0
Southern,Galle,Intermediate Zone,sandy_loam,984,26.8,4.9,Maha,yes,coconut,1
Southern,Galle,Intermediate Zone,sandy_loam,984,26.8,4.9,Maha,yes,rubber,0
Southern,Galle,Intermediate Zone,sandy_loam,984,26.8,4.9,Maha,yes,turmeric,0
North Western,Kurunegala,Intermediate Zone,loamy,1087,27.9,6.9,Maha,yes,coconut,1
North Western,Kurunegala,Intermediate Zone,loamy,1087,27.9,6.9,Maha,yes,rubber,0
North Western,Kurunegala,Intermediate Zone,loamy,1087,27.9,6.9,Maha,yes,paddy,0
Sabaragamuwa,Kegalle,Dry Zone,clay,896,32.0,5.9,Maha,no,ginger,1
Sabaragamuwa,Kegalle,Dry Zone,clay,896,32.0,5.9,Maha,no,vegetables,0
Sabaragamuwa,Kegalle,Dry Zone,clay,896,32.0,5.9,Maha,no,maize,0
North Western,Kurunegala,Wet Zone,compost_rich,2889,23.1,5.4,Yala,yes,coconut,1
North Western,Kurunegala,Wet Zone,compost_rich,2889,23.1,5.4,Yala,yes,rubber,0
North Western,Kurunegala,Wet Zone,compost_rich,2889,23.1,5.4,Yala,yes,ginger,0
Southern,Galle,Wet Zone,clay,2314,24.2,6.3,Maha,no,coconut,1
Southern,Galle,Wet Zone,clay,2314,24.2,6.3,Maha,no,mushroom,0
Southern,Galle,Wet Zone,clay,2314,24.2,6.3,Maha,no,vegetables,0
Southern,Galle,Wet Zone,compost_rich,1957,20.2,5.1,Maha,no,coconut,1
Southern,Galle,Wet Zone,compost_rich,1957,20.2,5.1,Maha,no,pepper,0
Southern,Galle,Wet Zone,compost_rich,1957,20.2,5.1,Maha,no,turmeric,0
Southern,Matara,Dry Zone,compost_rich,2200,24.8,7.1,Maha,yes,mushroom,1
Southern,Matara,Dry Zone,compost_rich,2200,24.8,7.1,Maha,yes,coconut,0
Southern,Matara,Dry Zone,compost_rich,2200,24.8,7.1,Maha,yes,coffee,0
North Western,Kurunegala,Wet Zone,compost_rich,2230,22.5,6.4,Maha,yes,coconut,1
North Western,Kurunegala,Wet Zone,compost_rich,2230,22.5,6.4,Maha,yes,vegetables,0
North Western,Kurunegala,Wet Zone,compost_rich,2230,22.5,6.4,Maha,yes,tea,0
Southern,Matara,Wet Zone,compost_rich,1984,32.9,6.2,Maha,yes,coconut,1
Southern,Matara,Wet Zone,compost_rich,1984,32.9,6.2,Maha,yes,coffee,0
Southern,Matara,Wet Zone,compost_rich,1984,32.9,6.2,Maha,yes,mushroom,0
North Western,Kurunegala,Wet Zone,loamy,1233,20.8,6.7,Maha,no,coconut,1
North Western,Kurunegala,Wet Zone,loamy,1233,20.8,6.7,Maha,no,pepper,0
North Western,Kurunegala,Wet Zone,loamy,1233,20.8,6.7,Maha,no,fruits,0
Southern,Hambantota,Wet Zone,compost_rich,916,30.1,6.8,Maha,yes,coconut,1
Southern,Hambantota,Wet Zone,compost_rich,916,30.1,6.8,Maha,yes,turmeric,0
Southern,Hambantota,Wet Zone,compost_rich,916,30.1,6.8,Maha,yes,mushroom,0
Northern,Kilinochchi,Intermediate Zone,loamy,1241,31.4,6.3,Yala,no,mushroom,1
Northern,Kilinochchi,Intermediate Zone,loamy,1241,31.4,6.3,Yala,no,pepper,0
Northern,Kilinochchi,Intermediate Zone,loamy,1241,31.4,6.3,Yala,no,paddy,0
Uva,Monaragala,Intermediate Zone,sandy_loam,1547,28.6,6.4,Yala,yes,banana,1
Uva,Monaragala,Intermediate Zone,sandy_loam,1547,28.6,6.4,Yala,yes,rubber,0
Uva,Monaragala,Intermediate Zone,sandy_loam,1547,28.6,6.4,Yala,yes,fruits,0
Eastern,Batticaloa,Intermediate Zone,compost_rich,938,29.3,4.9,Maha,no,banana,1
Eastern,Batticaloa,Intermediate Zone,compost_rich,938,29.3,4.9,Maha,no,ginger,0
Eastern,Batticaloa,Intermediate Zone,compost_rich,938,29.3,4.9,Maha,no,paddy,0
Southern,Matara,Wet Zone,sandy_loam,2605,22.1,5.3,Yala,no,coconut,1
Southern,Matara,Wet Zone,sandy_loam,2605,22.1,5.3,Yala,no,ginger,0
Southern,Matara,Wet Zone,sandy_loam,2605,22.1,5.3,Yala,no,turmeric,0
Central,Matale,Intermediate Zone,sandy_loam,1921,24.6,5.2,Maha,yes,maize,1
Central,Matale,Intermediate Zone,sandy_loam,1921,24.6,5.2,Maha,yes,coconut,0
Central,Matale,Intermediate Zone,sandy_loam,1921,24.6,5.2,Maha,yes,tea,0
Uva,Monaragala,Dry Zone,compost_rich,1529,29.2,7.1,Maha,no,fruits,1
Uva,Monaragala,Dry Zone,compost_rich,1529,29.2,7.1,Maha,no,cinnamon,0
Uva,Monaragala,Dry Zone,compost_rich,1529,29.2,7.1,Maha,no,banana,0
Western,Kalutara,Intermediate Zone,sandy_loam,1898,33.7,5.4,Yala,yes,coconut,1
Western,Kalutara,Intermediate Zone,sandy_loam,1898,33.7,5.4,Yala,yes,pepper,0
Western,Kalutara,Intermediate Zone,sandy_loam,1898,33.7,5.4,Yala,yes,maize,0
Eastern,Trincomalee,Intermediate Zone,loamy,2767,25.2,7.3,Maha,no,paddy,1
Eastern,Trincomalee,Intermediate Zone,loamy,2767,25.2,7.3,Maha,no,vegetables,0
Eastern,Trincomalee,Intermediate Zone,loamy,2767,25.2,7.3,Maha,no,coconut,0
Sabaragamuwa,Kegalle,Wet Zone,compost_rich,1281,22.5,5.0,Yala,no,rubber,1
Sabaragamuwa,Kegalle,Wet Zone,compost_rich,1281,22.5,5.0,Yala,no,coffee,0
Sabaragamuwa,Kegalle,Wet Zone,compost_rich,1281,22.5,5.0,Yala,no,mushroom,0
North Central,Polonnaruwa,Dry Zone,clay,1851,20.2,5.9,Yala,yes,paddy,1
North Central,Polonnaruwa,Dry Zone,clay,1851,20.2,5.9,Yala,yes,maize,0
North Central,Polonnaruwa,Dry Zone,clay,1851,20.2,5.9,Yala,yes,pepper,0
Eastern,Batticaloa,Wet Zone,compost_rich,2601,30.5,6.9,Maha,yes,mushroom,1
Eastern,Batticaloa,Wet Zone,compost_rich,2601,30.5,6.9,Maha,yes,fruits,0
Eastern,Batticaloa,Wet Zone,compost_rich,2601,30.5,6.9,Maha,yes,maize,0
Northern,Mannar,Intermediate Zone,clay_loam,2653,22.1,5.2,Yala,no,paddy,1
Northern,Mannar,Intermediate Zone,clay_loam,2653,22.1,5.2,Yala,no,vegetables,0
Northern,Mannar,Intermediate Zone,clay_loam,2653,22.1,5.2,Yala,no,fruits,0
North Western,Kurunegala,Dry Zone,loamy,1943,23.3,7.4,Yala,yes,turmeric,1
